"species_code","season","start_year","end_year","start_date","end_date","srd_id","longitude","latitude","abd","abd_ppy","abd_ppy_lower","abd_ppy_upper","abd_ppy_nonzero","abd_trend","abd_trend_lower","abd_trend_upper"
"uplsan","breeding",2012,2022,"05-31","06-28",246789,-109.492426171028,50.551853542592,0.244679810812803,2.11211243289023,0.383278711101134,3.41561808629885,TRUE,23.2459358833192,3.89957347600489,39.9140472720023
"uplsan","breeding",2012,2022,"05-31","06-28",246790,-109.115004291121,50.551853542592,0.379042207581863,0.667099689485651,-1.1313359203629,1.98318459215471,FALSE,6.87486120549878,-10.7544316214498,21.6986313276095
"uplsan","breeding",2012,2022,"05-31","06-28",246791,-108.737582411214,50.551853542592,0.239026165964162,1.01850764149851,-1.31747572850681,2.80378308249051,FALSE,10.6647948833681,-12.42049203771,31.8532884961241
"uplsan","breeding",2012,2022,"05-31","06-28",246792,-108.360160531308,50.551853542592,0.166449004120786,1.40739516151128,-0.299190253438567,2.46215770098534,FALSE,14.9995846886755,-2.95194057771037,27.5366403482979
"uplsan","breeding",2012,2022,"05-31","06-28",246793,-107.982738651401,50.551853542592,0.190468754556825,0.32959902875714,-0.616841290902641,1.80876496800672,FALSE,3.34530843358518,-5.99997724682074,19.6331921115314
"uplsan","breeding",2012,2022,"05-31","06-28",246794,-107.605316771495,50.551853542592,0.186871993966873,-1.57262514744703,-2.0061699917486,-0.341733380149768,TRUE,-14.658745557946,-18.344146907433,-3.36525808131082
"uplsan","breeding",2012,2022,"05-31","06-28",246795,-107.227894891588,50.551853542592,0.169923387764253,2.33217032629008,1.08042356661624,3.64506896356215,TRUE,25.9278678641955,11.3449516850842,43.0495343655564
"uplsan","breeding",2012,2022,"05-31","06-28",246796,-106.850473011681,50.551853542592,0.219481382335796,2.25744430460662,1.68813095521314,2.86859248495558,TRUE,25.0113206229402,18.2231835614248,32.6868780287594
"uplsan","breeding",2012,2022,"05-31","06-28",246797,-106.473051131775,50.551853542592,0.229290842278865,1.82378261021427,0.693431870123332,2.58878130096922,TRUE,19.8097782346802,7.1547503759233,29.1215428274181
"uplsan","breeding",2012,2022,"05-31","06-28",246798,-106.095629251868,50.551853542592,0.281734407227622,-0.853990194577081,-1.70578185750025,0.153267394920824,FALSE,-8.21908049737092,-15.8062748386946,1.54328817241813
"uplsan","breeding",2012,2022,"05-31","06-28",246799,-105.718207371962,50.551853542592,0.353032074851078,0.603096871114344,-0.777205024605574,2.23059351326071,FALSE,6.19730566462364,-7.50578651642924,24.6834531091969
"uplsan","breeding",2012,2022,"05-31","06-28",246800,-105.340785492055,50.551853542592,0.248604553226563,2.27494861227949,0.199629746234476,3.45789203994326,TRUE,25.2254784294624,2.0143266804967,40.4870373135998
"uplsan","breeding",2012,2022,"05-31","06-28",246801,-104.963363612148,50.551853542592,0.134854578060605,7.08808600494239,4.27529725003465,9.28164326006174,TRUE,98.3405734352466,51.989772629967,142.924975951458
"uplsan","breeding",2012,2022,"05-31","06-28",246802,-104.585941732242,50.551853542592,0.191544149598765,-0.657102570976705,-1.13161690070631,0.135824657486085,FALSE,-6.38008887488329,-10.7569679083504,1.36657846723036
"uplsan","breeding",2012,2022,"05-31","06-28",246803,-104.208519852335,50.551853542592,0.241446435953961,5.49035121555895,4.2874941835981,7.03648231231789,TRUE,70.6582871983803,52.1676465158103,97.3868781728784
"uplsan","breeding",2012,2022,"05-31","06-28",246804,-103.831097972429,50.551853542592,0.205818349211208,9.22825341119293,6.44764911437023,11.3639066555753,TRUE,141.740765072199,86.7930637126409,193.389506233863
"uplsan","breeding",2012,2022,"05-31","06-28",246805,-103.453676092522,50.551853542592,0.15753930225973,5.60043729333012,3.69034698475943,8.01516313972599,TRUE,72.4476046367172,43.6756854787804,116.195803169047
"uplsan","breeding",2012,2022,"05-31","06-28",246806,-103.076254212615,50.551853542592,0.205040786616941,6.74250425427877,5.4707511621899,8.16459844002121,TRUE,92.0321190883869,70.3414699529351,119.205488085195
"uplsan","breeding",2012,2022,"05-31","06-28",246807,-102.698832332709,50.551853542592,0.10342872291051,3.09418889188035,2.02955249011504,4.60966143966097,TRUE,35.6256588846225,22.2530824393811,56.9343328201746
"uplsan","breeding",2012,2022,"05-31","06-28",246808,-102.321410452802,50.551853542592,0.147010449116817,-1.19362620670971,-3.16551567114779,-0.0651589759716747,TRUE,-11.3151145846643,-27.5062707363963,-0.649682514206396
"uplsan","breeding",2012,2022,"05-31","06-28",246809,-101.943988572896,50.551853542592,0.146664512163358,-3.16987498532356,-5.49092453386809,-1.42602575898319,TRUE,-27.5388994978319,-43.1493876322776,-13.3791053250405
"uplsan","breeding",2012,2022,"05-31","06-28",246810,-101.566566692989,50.551853542592,0.327893642690302,-0.0628826015800582,-1.41551081359052,1.29631459525856,FALSE,-0.62704959662877,-13.2866619275187,13.7460828896807
"uplsan","breeding",2012,2022,"05-31","06-28",246811,-101.189144813082,50.551853542592,0.195379951202015,0.783599060335965,-0.593543745918002,2.67879069802129,FALSE,8.11815671465799,-5.77938842438419,30.2589134363539
"uplsan","breeding",2012,2022,"05-31","06-28",246812,-100.811722933176,50.551853542592,0.105030076902688,0.0968351896889172,-0.912026454410499,1.90363541777446,FALSE,0.972582486004381,-8.75491771215936,20.7526798070339
"uplsan","breeding",2012,2022,"05-31","06-28",246813,-100.434301053269,50.551853542592,0.0457587443458351,-2.94752626555314,-4.66887106144742,-1.75863844061879,TRUE,-25.8576931671059,-38.0063280366127,-16.2579229075481
"uplsan","breeding",2012,2022,"05-31","06-28",246814,-100.056879173363,50.551853542592,0.00438010451821024,-3.84581027915535,-4.90199422592044,-2.55087434966467,TRUE,-32.4411692224482,-39.5057498523497,-22.7711677274025
"uplsan","breeding",2012,2022,"05-31","06-28",246815,-99.679457293456,50.551853542592,0.0365239452167363,-7.89353344853824,-10.844240918089,-4.67459978946342,TRUE,-56.0558347314362,-68.2682503014502,-38.0435717855411
"uplsan","breeding",2012,2022,"05-31","06-28",246816,-99.3020354135494,50.551853542592,0.202547534731574,-1.24100060082043,-1.94161373103445,-0.372608014317122,TRUE,-11.7394130587362,-17.8046179284048,-3.66422036393017
"uplsan","breeding",2012,2022,"05-31","06-28",246817,-98.9246135336428,50.551853542592,0.158751505116468,1.8570999203695,0.87819496678163,3.23827128321577,TRUE,20.2023802484293,9.1372552252982,37.5331015658962
"uplsan","breeding",2012,2022,"05-31","06-28",246818,-98.5471916537362,50.551853542592,0.0408047439877124,2.54846279887469,0.545103297087374,4.38822420508054,TRUE,28.6149777108841,5.58670720404437,53.6438201204352
"uplsan","breeding",2012,2022,"05-31","06-28",246819,-98.1697697738296,50.551853542592,0.0436484500023973,6.76904986162412,3.22522188274279,7.92935346370948,TRUE,92.5102152105931,37.3593574692013,114.48442199584
"uplsan","breeding",2012,2022,"05-31","06-28",246820,-97.792347893923,50.551853542592,0.052954541676476,3.21353256404917,-1.51611781819703,5.5208840233194,FALSE,37.203889714762,-14.1675322194933,71.1528792238734
"uplsan","breeding",2012,2022,"05-31","06-28",246821,-97.4149260140164,50.551853542592,0.0326923995106091,6.51305206311692,4.9964016366234,9.48676732477727,TRUE,87.9439252407425,62.8336488592704,147.52343939653
"uplsan","breeding",2012,2022,"05-31","06-28",246822,-97.0375041341098,50.551853542592,0.020348357654368,-3.82778796534061,-6.85094285604027,-2.81996073652098,TRUE,-32.3144359087968,-50.8204406424875,-24.8773841808177
"uplsan","breeding",2012,2022,"05-31","06-28",246824,-96.2826603742966,50.551853542592,0.00100795440069147,-5.62269505991355,-10.078417321929,-3.27416676185635,TRUE,-43.9370800308884,-65.4347723477049,-28.3155766340488
"uplsan","breeding",2012,2022,"05-31","06-28",248277,-114.196453434847,50.3120471811979,0.00010038706201039,-0.419624679276615,-1.3355826500291,1.30277049276999,FALSE,-4.11788879674034,-12.5810560843763,13.8185972449308
"uplsan","breeding",2012,2022,"05-31","06-28",248278,-113.820938385715,50.3120471811979,0.0314289556178591,1.05558771875098,-1.44489657680366,3.5302047591921,FALSE,11.0716751560819,-13.5447879696164,41.4720769591111
"uplsan","breeding",2012,2022,"05-31","06-28",248279,-113.445423336583,50.3120471811979,0.0999616241503008,1.23332812146107,-1.15762808795308,3.12942723319281,FALSE,13.040780739372,-10.9914787664979,36.0899509163662
"uplsan","breeding",2012,2022,"05-31","06-28",248280,-113.069908287451,50.3120471811979,0.060110134157334,2.57925562391799,0.0158595208148595,3.92928245533867,TRUE,29.0016996730251,0.158708442010824,47.0209716256382
"uplsan","breeding",2012,2022,"05-31","06-28",248281,-112.694393238319,50.3120471811979,0.121920833924076,0.0510432390991946,-1.34465605454731,1.06332523478606,FALSE,0.511606423798461,-12.6614152754124,11.1567486350675
"uplsan","breeding",2012,2022,"05-31","06-28",248282,-112.318878189188,50.3120471811979,0.160760166767131,0.579804652491339,-0.328970555443502,1.75027410053166,FALSE,5.95168744831196,-3.24143059349978,18.9476532795533
"uplsan","breeding",2012,2022,"05-31","06-28",248283,-111.943363140056,50.3120471811979,0.206322582091197,-1.42311366463153,-1.81380012204912,-0.427267833307144,TRUE,-13.3535121848043,-16.7269411897754,-4.1914563723788
"uplsan","breeding",2012,2022,"05-31","06-28",248284,-111.567848090924,50.3120471811979,0.338300513799019,-1.03726481858402,-1.77029900465832,0.0370174207517616,FALSE,-9.90163699936667,-16.3572658366613,0.37079144685479
"uplsan","breeding",2012,2022,"05-31","06-28",248285,-111.192333041792,50.3120471811979,0.268438772000249,3.67655681105687,2.63977674964431,4.48245524532804,TRUE,43.4847200343381,29.7648256015121,55.0364073254859
"uplsan","breeding",2012,2022,"05-31","06-28",248286,-110.81681799266,50.3120471811979,0.366633263608499,0.723901346741754,-0.741448330712767,2.36613483491971,FALSE,7.47943874130184,-7.17192616561129,26.3464529401532
"uplsan","breeding",2012,2022,"05-31","06-28",248287,-110.441302943528,50.3120471811979,0.326751000974439,0.789296277969345,-0.732623132555219,2.4219950431984,FALSE,8.17929060849794,-7.0893585698859,27.0376088054473
"uplsan","breeding",2012,2022,"05-31","06-28",248288,-110.065787894397,50.3120471811979,0.203364441026568,1.01066947763932,-0.0192055843272436,2.09211316076489,FALSE,10.5789585338519,-0.19188994374143,23.0047639299255
"uplsan","breeding",2012,2022,"05-31","06-28",248289,-109.690272845265,50.3120471811979,0.239740595149729,0.932352872493021,-0.184992072578147,2.9677412158622,FALSE,9.72459177589093,-1.83459652000565,33.9713266814355
"uplsan","breeding",2012,2022,"05-31","06-28",248290,-109.314757796133,50.3120471811979,0.306816938930304,-0.43691724551788,-1.6814596614504,1.50715897277285,FALSE,-4.2842622093048,-15.5977114036114,16.1359634646151
"uplsan","breeding",2012,2022,"05-31","06-28",248291,-108.939242747001,50.3120471811979,0.309590259035083,0.444722030401733,-0.699415524428752,2.38710085492359,FALSE,4.53728399344631,-6.77807917514024,26.6054668286036
"uplsan","breeding",2012,2022,"05-31","06-28",248292,-108.563727697869,50.3120471811979,0.225866611685573,-0.453910125690346,-1.1569698027247,0.824083267344984,FALSE,-4.44749916296526,-10.9855506660643,8.5532471931125
